a,b,w0,x,y,w1
22,60,82,62,57,5
51,67,118,87,35,52
76,100,176,28,48,-20
98,11,109,100,40,60
87,80,167,31,52,-21
80,71,151,20,45,-25
88,92,180,80,81,-1
30,26,56,70,78,-8
80,30,110,26,82,-56
37,66,103,55,50,5
34,90,124,23,47,-24
19,75,94,84,92,-8
76,16,92,18,69,-51
90,30,120,24,43,-19
40,94,134,26,14,12
69,53,122,2,24,-22
28,60,88,45,70,-25
35,98,133,50,10,40
51,15,66,29,78,-49
37,47,84,60,64,-4
79,26,105,34,87,-53
41,8,49,42,73,-31
30,61,91,3,78,-75
1,89,90,86,22,64
47,47,94,50,79,-29
16,12,28,50,47,3
67,50,117,32,66,-34
40,36,76,35,78,-43
46,56,102,41,11,30
87,33,120,86,77,9
13,10,23,26,87,-61
33,73,106,97,41,56
3,60,63,85,84,1
69,19,88,89,30,59
76,99,175,75,42,33
45,11,56,42,87,-45
86,48,134,3,18,-15
43,15,58,3,27,-24
50,36,86,70,30,40
69,34,103,4,17,-13
67,78,145,75,35,40
37,100,137,41,89,-48
67,85,152,45,83,-38
39,55,94,17,89,-72
43,39,82,65,7,58
83,50,133,19,24,-5
96,78,174,18,93,-75
77,59,136,94,90,4
53,93,146,1,99,-98
11,66,77,96,53,43
20,2,22,29,49,-20
64,2,66,23,91,-68
2,96,98,86,99,-13
69,42,111,4,35,-31
44,63,107,9,75,-66
90,52,142,48,54,-6
75,12,87,35,74,-39
61,39,100,91,66,25
93,71,164,97,93,4
75,19,94,50,99,-49
28,89,117,33,81,-48
30,33,63,16,14,2
40,87,127,86,53,33
16,24,40,88,13,75
96,61,157,90,96,-6
29,8,37,42,81,-39
73,57,130,31,61,-30
59,32,91,98,7,91
24,65,89,65,79,-14
6,32,38,59,69,-10
17,54,71,52,60,-8
94,72,166,66,69,-3
1,37,38,29,58,-29
55,76,131,28,43,-15
47,84,131,13,86,-73
65,86,151,20,25,-5
10,6,16,92,79,13
63,59,122,99,75,24
25,64,89,50,82,-32
59,48,107,90,86,4
12,53,65,61,74,-13
46,50,96,18,4,14
38,69,107,38,14,24
71,44,115,5,87,-82
67,91,158,70,12,58
8,18,26,32,98,-66
14,65,79,61,74,-13
76,18,94,84,43,41
60,92,152,56,88,-32
10,30,40,91,96,-5
19,84,103,15,74,-59
27,64,91,7,1,6
65,71,136,93,60,33
56,94,150,24,68,-44
21,68,89,44,10,34
68,68,136,67,13,54
74,95,169,79,41,38
88,40,128,62,24,38
19,24,43,85,20,65
66,68,134,28,72,-44
28,59,87,20,14,6
35,87,122,2,38,-36
20,75,95,3,52,-49
70,28,98,31,73,-42
4,14,18,81,6,75
41,78,119,20,56,-36
84,37,121,88,67,21
3,44,47,42,11,31
3,69,72,71,13,58
45,16,61,17,51,-34
70,26,96,91,1,90
24,39,63,26,4,22
57,57,114,41,48,-7
94,39,133,41,88,-47
61,71,132,52,61,-9
76,71,147,52,65,-13
98,63,161,87,66,21
35,64,99,58,82,-24
51,2,53,87,4,83
38,36,74,61,99,-38
21,99,120,18,72,-54
35,47,82,97,39,58
42,85,127,26,78,-52
69,33,102,56,22,34
91,32,123,95,39,56
25,97,122,20,93,-73
57,26,83,87,2,85
48,70,118,44,11,33
60,94,154,86,37,49
56,39,95,64,37,27
94,73,167,98,19,79
93,88,181,53,87,-34
33,4,37,5,51,-46
54,3,57,89,20,69
24,30,54,33,62,-29
81,50,131,25,100,-75
82,33,115,78,29,49
13,67,80,83,18,65
27,55,82,93,56,37
54,72,126,92,7,85
71,67,138,69,28,41
70,30,100,70,64,6
68,32,100,12,93,-81
78,49,127,74,84,-10
82,38,120,2,92,-90
83,31,114,39,64,-25
28,33,61,43,54,-11
86,16,102,10,99,-89
22,4,26,6,36,-30
60,51,111,6,38,-32
39,91,130,88,55,33
24,32,56,7,80,-73
47,84,131,76,87,-11
2,45,47,75,61,14
44,9,53,19,95,-76
63,37,100,90,2,88
95,88,183,99,80,19
21,21,42,17,37,-20
58,91,149,95,67,28
52,45,97,11,69,-58
23,8,31,1,42,-41
43,16,59,76,92,-16
93,60,153,23,80,-57
45,25,70,79,43,36
73,90,163,48,4,44
5,31,36,50,44,6
93,80,173,7,37,-30
90,19,109,87,98,-11
63,71,134,79,1,78
7,63,70,71,69,2
49,3,52,12,55,-43
75,8,83,73,95,-22
39,56,95,17,8,9
21,18,39,29,90,-61
9,79,88,5,61,-56
25,63,88,17,2,15
37,83,120,17,82,-65
51,75,126,91,92,-1
70,60,130,19,71,-52
89,72,161,39,10,29
60,58,118,28,16,12
99,41,140,30,91,-61
51,10,61,32,32,0
21,84,105,87,8,79
52,69,121,54,31,23
46,94,140,91,12,79
26,82,108,76,66,10
32,32,64,43,53,-10
49,91,140,99,83,16
76,93,169,55,67,-12
57,27,84,84,21,63
92,55,147,24,66,-42
65,66,131,21,44,-23
84,100,184,87,60,27
63,3,66,12,23,-11
29,7,36,47,53,-6
43,26,69,98,30,68
51,79,130,65,55,10
84,53,137,82,71,11
75,85,160,5,43,-38
54,65,119,94,60,34
3,61,64,37,16,21
84,3,87,64,90,-26
57,12,69,27,84,-57
15,21,36,5,5,0
30,97,127,74,4,70
39,65,104,15,40,-25
33,91,124,100,2,98
100,75,175,17,53,-36
37,24,61,22,3,19
80,35,115,11,23,-12
43,99,142,87,8,79
24,36,60,96,61,35
76,44,120,90,6,84
60,17,77,36,67,-31
49,99,148,25,25,0
86,30,116,98,40,58
33,32,65,100,15,85
92,8,100,53,71,-18
20,38,58,51,25,26
61,72,133,15,70,-55
60,99,159,49,54,-5
32,91,123,27,93,-66
25,1,26,80,78,2
82,24,106,44,47,-3
11,60,71,9,33,-24
16,38,54,73,60,13
99,93,192,30,22,8
53,21,74,16,22,-6
16,84,100,86,24,62
4,54,58,55,65,-10
94,95,189,94,12,82
75,84,159,45,38,7
1,9,10,4,66,-62
45,10,55,17,54,-37
30,51,81,33,7,26
67,13,80,58,70,-12
8,10,18,17,73,-56
71,70,141,12,21,-9
73,15,88,94,47,47
74,84,158,83,3,80
64,6,70,35,27,8
73,55,128,9,19,-10
85,52,137,53,69,-16
59,30,89,77,94,-17
83,38,121,36,93,-57
5,33,38,30,84,-54
42,100,142,27,65,-38
37,86,123,67,98,-31
75,96,171,98,93,5
63,76,139,68,36,32
60,97,157,56,87,-31
76,2,78,42,32,10
24,97,121,64,45,19
100,50,150,63,73,-10
63,5,68,19,52,-33
36,70,106,50,75,-25
62,97,159,49,55,-6
65,20,85,67,13,54
66,54,120,71,24,47
27,2,29,97,88,9
8,98,106,100,73,27
100,7,107,57,57,0
58,88,146,3,86,-83
84,17,101,13,25,-12
100,62,162,90,55,35
82,99,181,89,8,81
59,91,150,27,35,-8
1,23,24,14,62,-48
97,84,181,25,80,-55
76,54,130,53,91,-38
9,33,42,85,89,-4
78,48,126,82,44,38
19,27,46,43,68,-25
88,71,159,65,18,47
68,88,156,51,6,45
3,75,78,25,30,-5
33,26,59,51,46,5
55,19,74,18,100,-82
68,61,129,98,74,24
44,16,60,40,38,2
52,9,61,31,23,8
46,49,95,34,48,-14
64,25,89,69,23,46
51,5,56,68,94,-26
70,77,147,73,92,-19
6,55,61,96,34,62
84,85,169,9,86,-77
25,1,26,54,23,31
11,55,66,40,89,-49
56,22,78,21,67,-46
50,88,138,2,12,-10
53,18,71,70,97,-27
42,28,70,21,97,-76
53,67,120,73,99,-26
69,61,130,77,7,70
70,53,123,97,75,22
46,67,113,19,43,-24
3,30,33,92,63,29
21,25,46,25,100,-75
72,95,167,92,24,68
60,61,121,5,78,-73
78,38,116,3,42,-39
22,40,62,71,90,-19
25,64,89,84,54,30
3,87,90,84,38,46
18,44,62,68,50,18
64,16,80,55,100,-45
95,80,175,97,82,15
85,24,109,96,37,59
26,92,118,46,97,-51
34,79,113,80,76,4
26,34,60,91,42,49
39,69,108,92,70,22
79,32,111,90,80,10
50,59,109,44,62,-18
7,61,68,12,80,-68
5,93,98,2,55,-53
77,53,130,71,3,68
83,88,171,77,60,17
56,60,116,75,38,37
9,68,77,47,84,-37
97,53,150,44,95,-51
11,97,108,96,80,16
91,78,169,84,21,63
88,36,124,15,23,-8
93,69,162,2,64,-62
49,31,80,41,98,-57
49,29,78,86,74,12
86,69,155,88,91,-3
99,79,178,100,64,36
52,16,68,60,37,23
17,30,47,64,76,-12
24,57,81,26,97,-71
1,80,81,33,42,-9
95,36,131,90,76,14
25,12,37,96,6,90
21,22,43,5,66,-61
43,98,141,73,95,-22
66,44,110,62,23,39
88,92,180,100,92,8
39,58,97,100,3,97
17,19,36,60,60,0
75,12,87,50,71,-21
42,45,87,48,57,-9
89,78,167,65,97,-32
84,34,118,59,61,-2
100,51,151,35,100,-65
65,54,119,81,79,2
14,87,101,25,52,-27
61,9,70,100,21,79
83,86,169,19,60,-41
74,2,76,57,77,-20
82,42,124,8,16,-8
31,85,116,33,72,-39
19,38,57,53,29,24
3,23,26,36,97,-61
93,48,141,19,57,-38
80,83,163,87,36,51
26,1,27,69,85,-16
67,21,88,18,76,-58
58,3,61,22,71,-49
78,55,133,21,47,-26
60,33,93,34,35,-1
70,46,116,37,64,-27
63,19,82,65,79,-14
73,71,144,88,87,1
75,44,119,34,70,-36
78,15,93,72,37,35
39,49,88,39,13,26
81,48,129,95,41,54
20,69,89,62,50,12
96,24,120,70,79,-9
58,41,99,71,40,31
3,70,73,3,6,-3
68,89,157,23,25,-2
90,53,143,28,35,-7
28,47,75,100,47,53
5,70,75,44,54,-10
86,8,94,97,20,77
11,36,47,17,42,-25
51,15,66,41,19,22
43,44,87,38,15,23
89,10,99,80,77,3
33,45,78,93,84,9
85,68,153,7,49,-42
26,47,73,88,1,87
8,49,57,71,16,55
66,41,107,31,10,21
78,87,165,36,73,-37
29,95,124,5,93,-88
74,91,165,94,2,92
58,70,128,97,8,89
74,32,106,54,69,-15
22,63,85,77,97,-20
24,35,59,63,40,23
78,16,94,41,65,-24
72,55,127,54,14,40
94,35,129,92,23,69
63,2,65,37,85,-48
40,91,131,16,84,-68
27,49,76,31,62,-31
57,19,76,54,34,20
78,1,79,71,23,48
66,31,97,58,25,33
80,31,111,100,27,73
82,85,167,81,25,56
32,66,98,84,74,10
96,4,100,34,67,-33
22,47,69,19,80,-61
57,87,144,64,8,56
98,24,122,70,83,-13
98,79,177,40,70,-30
71,80,151,82,100,-18
25,71,96,53,61,-8
71,9,80,40,71,-31
64,96,160,92,19,73
83,19,102,69,32,37
60,59,119,60,2,58
62,94,156,27,87,-60
34,56,90,78,3,75
72,30,102,92,55,37
98,65,163,20,70,-50
49,90,139,91,81,10
91,64,155,82,33,49
46,9,55,68,33,35
16,18,34,62,59,3
5,44,49,2,84,-82
77,3,80,56,100,-44
33,40,73,54,2,52
92,60,152,60,94,-34
22,71,93,22,83,-61
100,1,101,75,27,48
86,62,148,52,25,27
72,44,116,89,28,61
57,44,101,82,23,59
43,96,139,58,80,-22
19,35,54,89,52,37
57,54,111,38,32,6
86,97,183,49,62,-13
23,1,24,76,4,72
3,86,89,10,80,-70
31,78,109,4,75,-71
32,73,105,79,80,-1
49,13,62,18,65,-47
84,61,145,2,67,-65
70,18,88,86,57,29
47,24,71,94,3,91
42,16,58,92,46,46
83,75,158,24,86,-62
49,81,130,68,45,23
76,83,159,100,76,24
30,19,49,88,71,17
5,53,58,48,22,26
13,38,51,45,42,3
55,97,152,92,95,-3
50,51,101,77,95,-18
79,17,96,72,66,6
80,85,165,69,84,-15
79,53,132,96,39,57
17,64,81,8,99,-91
41,27,68,88,76,12
97,35,132,70,11,59
45,16,61,18,56,-38
77,72,149,56,93,-37
27,26,53,44,29,15
34,7,41,49,17,32
96,38,134,58,46,12
27,70,97,67,9,58
66,26,92,26,41,-15
4,72,76,26,77,-51
8,97,105,73,96,-23
28,16,44,57,67,-10
14,77,91,16,96,-80
43,38,81,78,36,42
75,43,118,37,72,-35
79,79,158,26,18,8
71,2,73,36,22,14
43,7,50,68,34,34
60,36,96,98,23,75
62,9,71,82,13,69
41,89,130,25,32,-7
7,18,25,93,80,13
61,12,73,33,85,-52
70,65,135,82,44,38
56,69,125,13,95,-82
42,50,92,12,57,-45
13,86,99,27,11,16
26,3,29,40,99,-59
47,86,133,36,99,-63
21,54,75,66,100,-34
39,82,121,28,12,16
84,77,161,97,76,21
3,34,37,6,1,5
46,5,51,83,21,62
67,36,103,66,80,-14
45,56,101,8,48,-40
81,95,176,92,82,10
12,83,95,4,98,-94
69,99,168,43,98,-55
14,63,77,84,64,20
34,84,118,15,89,-74
42,78,120,90,83,7
60,7,67,20,60,-40
49,86,135,53,30,23
36,62,98,51,98,-47
21,69,90,18,36,-18
35,25,60,45,36,9
92,19,111,88,62,26
25,96,121,30,74,-44
93,17,110,2,15,-13
17,79,96,90,73,17
92,25,117,30,70,-40
23,42,65,44,42,2
92,94,186,84,53,31
50,66,116,92,2,90
41,18,59,24,28,-4
53,66,119,53,30,23
50,74,124,69,73,-4
9,8,17,38,91,-53
28,100,128,66,44,22
23,30,53,59,3,56
13,82,95,65,44,21
73,10,83,55,45,10
45,97,142,29,90,-61
25,57,82,40,18,22
66,65,131,94,52,42
52,38,90,71,39,32
16,42,58,65,18,47
68,48,116,100,75,25
76,85,161,58,41,17
29,41,70,69,22,47
66,69,135,53,55,-2
65,46,111,7,38,-31
29,64,93,33,73,-40
56,9,65,88,90,-2
41,87,128,89,38,51
72,69,141,71,13,58
86,70,156,6,72,-66
4,16,20,96,80,16
20,8,28,35,22,13
90,78,168,11,62,-51
99,64,163,60,66,-6
23,60,83,32,20,12
27,75,102,39,58,-19
12,72,84,46,19,27
15,53,68,46,14,32
18,12,30,36,50,-14
18,6,24,73,34,39
100,96,196,75,97,-22
21,97,118,87,49,38
53,49,102,66,5,61
71,100,171,65,87,-22
47,79,126,19,46,-27
90,92,182,3,74,-71
35,62,97,22,29,-7
1,14,15,86,71,15
41,88,129,24,91,-67
52,66,118,33,86,-53
27,85,112,14,11,3
42,57,99,55,54,1
12,78,90,8,52,-44
85,81,166,25,95,-70
52,62,114,10,37,-27
86,30,116,67,9,58
15,33,48,2,37,-35
99,9,108,53,44,9
99,56,155,40,41,-1
38,99,137,80,35,45
46,84,130,93,33,60
59,83,142,90,76,14
46,40,86,61,47,14
92,23,115,38,34,4
37,93,130,45,3,42
95,56,151,42,51,-9
74,73,147,95,82,13
24,6,30,67,41,26
69,50,119,4,95,-91
22,96,118,58,73,-15
78,88,166,68,21,47
21,59,80,62,19,43
56,29,85,49,79,-30
20,7,27,97,33,64
85,25,110,54,18,36
25,63,88,49,15,34
53,74,127,31,1,30
58,27,85,23,80,-57
80,41,121,75,7,68
6,79,85,75,66,9
97,52,149,69,65,4
49,58,107,56,88,-32
37,56,93,68,73,-5
47,86,133,12,17,-5
69,8,77,13,60,-47
80,61,141,66,77,-11
82,14,96,96,50,46
36,33,69,23,84,-61
9,81,90,11,13,-2
44,97,141,18,88,-70
1,26,27,22,78,-56
83,22,105,97,50,47
97,100,197,74,91,-17
86,6,92,9,92,-83
62,98,160,41,64,-23
45,21,66,68,42,26
43,21,64,18,93,-75
13,100,113,91,73,18
76,40,116,1,21,-20
27,12,39,42,27,15
44,47,91,24,91,-67
92,95,187,6,56,-50
45,53,98,85,44,41
15,2,17,8,45,-37
69,18,87,91,94,-3
99,25,124,83,97,-14
28,95,123,93,31,62
95,98,193,37,90,-53
72,66,138,40,53,-13
15,11,26,86,39,47
96,9,105,33,10,23
30,20,50,32,76,-44
87,11,98,74,22,52
35,19,54,5,42,-37
36,97,133,21,48,-27
49,2,51,21,70,-49
61,91,152,73,7,66
40,1,41,16,60,-44
50,7,57,62,82,-20
42,75,117,25,35,-10
23,25,48,58,3,55
64,99,163,50,1,49
31,47,78,95,14,81
90,73,163,31,53,-22
44,66,110,69,53,16
100,5,105,52,92,-40
8,57,65,69,55,14
40,18,58,70,35,35
74,48,122,94,61,33
12,76,88,99,65,34
14,64,78,15,65,-50
53,63,116,100,34,66
11,28,39,55,54,1
74,84,158,97,18,79
15,44,59,83,20,63
81,27,108,73,79,-6
39,42,81,93,57,36
68,46,114,64,83,-19
51,6,57,44,35,9
63,72,135,27,65,-38
63,68,131,6,69,-63
4,5,9,28,88,-60
39,55,94,37,78,-41
57,41,98,12,73,-61
100,80,180,27,66,-39
56,70,126,85,22,63
98,45,143,89,94,-5
54,33,87,48,56,-8
34,51,85,26,59,-33
16,19,35,65,11,54
42,44,86,91,5,86
80,37,117,31,38,-7
94,9,103,28,84,-56
58,10,68,76,73,3
18,90,108,90,39,51
30,29,59,87,78,9
97,44,141,14,34,-20
55,36,91,86,77,9
5,4,9,39,5,34
87,14,101,22,1,21
88,67,155,69,82,-13
79,43,122,51,7,44
51,82,133,75,31,44
86,10,96,98,82,16
92,59,151,95,100,-5
61,79,140,13,84,-71
49,28,77,16,81,-65
60,25,85,90,92,-2
2,60,62,89,26,63
73,2,75,63,54,9
16,74,90,94,57,37
72,100,172,85,72,13
55,83,138,73,33,40
23,77,100,60,61,-1
6,25,31,72,83,-11
53,27,80,50,20,30
49,6,55,44,39,5
5,54,59,18,32,-14
26,34,60,34,12,22
95,63,158,52,96,-44
17,56,73,64,34,30
8,5,13,67,36,31
91,39,130,45,89,-44
96,27,123,13,45,-32
15,31,46,60,20,40
44,51,95,86,76,10
67,87,154,48,66,-18
5,60,65,27,93,-66
8,70,78,3,23,-20
17,3,20,68,85,-17
40,56,96,91,98,-7
42,34,76,26,54,-28
82,21,103,4,89,-85
82,96,178,20,56,-36
42,16,58,82,40,42
76,4,80,24,94,-70
64,15,79,20,31,-11
7,31,38,89,55,34
28,35,63,77,35,42
13,80,93,74,17,57
6,51,57,31,15,16
35,86,121,92,43,49
37,65,102,92,27,65
53,99,152,63,65,-2
28,46,74,90,38,52
61,9,70,81,57,24
65,35,100,76,4,72
18,79,97,30,25,5
54,53,107,17,82,-65
71,67,138,40,45,-5
64,32,96,65,100,-35
82,4,86,30,63,-33
6,88,94,83,48,35
58,70,128,74,39,35
44,96,140,93,60,33
53,14,67,8,30,-22
92,49,141,21,18,3
70,27,97,32,26,6
64,63,127,35,52,-17
55,8,63,16,51,-35
10,44,54,47,46,1
81,28,109,83,52,31
46,80,126,70,71,-1
52,72,124,12,21,-9
53,79,132,61,83,-22
4,26,30,43,32,11
98,91,189,92,77,15
66,30,96,93,30,63
74,99,173,21,61,-40
44,41,85,81,3,78
44,1,45,93,11,82
71,78,149,33,36,-3
27,75,102,38,25,13
55,46,101,21,1,20
93,67,160,48,3,45
66,99,165,27,90,-63
84,29,113,62,52,10
87,67,154,11,44,-33
71,40,111,94,47,47
46,76,122,36,4,32
40,11,51,54,26,28
1,95,96,80,50,30
39,13,52,86,80,6
29,16,45,96,29,67
85,13,98,65,32,33
76,3,79,60,75,-15
55,55,110,87,23,64
76,97,173,22,21,1
77,98,175,43,5,38
79,61,140,97,99,-2
1,64,65,86,48,38
29,41,70,85,8,77
79,78,157,59,13,46
22,54,76,37,51,-14
43,86,129,24,19,5
3,70,73,98,61,37
3,73,76,57,99,-42
45,65,110,10,43,-33
27,63,90,90,58,32
76,49,125,10,57,-47
36,76,112,71,32,39
36,93,129,94,51,43
77,73,150,93,77,16
4,20,24,13,7,6
4,74,78,84,33,51
26,71,97,25,35,-10
83,47,130,55,46,9
77,30,107,56,24,32
53,67,120,25,65,-40
52,47,99,8,87,-79
88,53,141,2,46,-44
1,78,79,22,25,-3
17,23,40,99,39,60
74,79,153,82,43,39
26,33,59,29,7,22
29,44,73,24,35,-11
62,97,159,31,21,10
51,33,84,78,90,-12
71,19,90,61,78,-17
79,73,152,99,89,10
40,50,90,40,51,-11
44,11,55,49,54,-5
44,86,130,24,89,-65
32,5,37,62,93,-31
29,26,55,43,53,-10
12,7,19,35,66,-31
92,78,170,75,3,72
76,60,136,45,67,-22
93,26,119,88,19,69
86,35,121,41,9,32
45,6,51,20,58,-38
92,50,142,61,3,58
80,11,91,89,65,24
3,72,75,64,79,-15
39,71,110,11,96,-85
73,91,164,69,51,18
31,31,62,19,43,-24
77,98,175,53,41,12
70,79,149,89,100,-11
10,74,84,74,64,10
23,21,44,82,41,41
77,33,110,3,41,-38
31,56,87,98,39,59
70,92,162,56,43,13
40,89,129,97,96,1
59,27,86,95,58,37
18,55,73,55,73,-18
30,9,39,18,84,-66
8,12,20,79,56,23
26,57,83,77,52,25
72,82,154,11,62,-51
60,53,113,47,74,-27
22,60,82,44,56,-12
68,68,136,63,22,41
21,89,110,97,38,59
34,65,99,19,84,-65
88,69,157,28,92,-64
91,73,164,80,39,41
16,99,115,57,71,-14
89,10,99,1,73,-72
63,21,84,50,74,-24
25,33,58,63,79,-16
74,12,86,20,74,-54
9,91,100,56,23,33
3,62,65,85,23,62
81,11,92,24,28,-4
79,45,124,94,66,28
96,56,152,73,77,-4
67,8,75,40,54,-14
95,8,103,93,71,22
80,54,134,32,33,-1
58,80,138,79,63,16
87,48,135,4,13,-9
6,17,23,21,88,-67
84,74,158,22,63,-41
71,35,106,64,19,45
28,9,37,83,57,26
3,40,43,82,19,63
68,69,137,79,100,-21
44,98,142,75,93,-18
53,38,91,25,41,-16
81,4,85,37,60,-23
99,89,188,19,31,-12
21,100,121,95,79,16
55,97,152,4,35,-31
60,75,135,43,19,24
100,96,196,56,78,-22
76,33,109,17,43,-26
69,75,144,6,44,-38
53,66,119,12,39,-27
38,53,91,6,3,3
35,87,122,62,33,29
77,65,142,83,76,7
21,97,118,80,30,50
98,47,145,48,3,45
19,38,57,45,30,15
9,57,66,62,41,21
81,84,165,36,78,-42
75,49,124,71,33,38
30,30,60,71,6,65
66,92,158,17,98,-81
8,6,14,2,63,-61
67,37,104,69,81,-12
87,33,120,55,12,43
28,70,98,37,68,-31
69,85,154,39,90,-51
23,20,43,95,26,69
31,93,124,34,23,11
22,50,72,41,57,-16
48,26,74,27,59,-32
28,89,117,26,1,25
19,33,52,86,93,-7
70,3,73,5,30,-25
6,14,20,81,19,62
74,36,110,99,29,70
62,42,104,51,7,44
97,78,175,19,95,-76
58,3,61,94,69,25
64,82,146,91,10,81
55,55,110,93,99,-6
74,80,154,64,59,5
79,36,115,25,4,21
79,63,142,92,3,89
91,79,170,62,82,-20
40,63,103,88,2,86
36,46,82,19,29,-10
37,15,52,39,66,-27
96,70,166,30,88,-58
54,21,75,48,7,41
84,2,86,46,63,-17
77,27,104,51,72,-21
82,76,158,72,56,16
16,69,85,96,86,10
30,92,122,48,37,11
40,86,126,64,98,-34
21,43,64,16,53,-37
61,16,77,23,45,-22
20,73,93,96,55,41
94,47,141,94,90,4
27,45,72,88,21,67
76,89,165,77,81,-4
13,45,58,43,42,1
79,36,115,93,100,-7
3,32,35,78,77,1
29,18,47,12,44,-32
12,92,104,44,10,34
95,53,148,2,17,-15
58,68,126,60,65,-5
62,31,93,88,76,12
56,58,114,5,86,-81
90,11,101,83,13,70
48,73,121,80,9,71
62,67,129,76,75,1
11,95,106,21,71,-50
32,50,82,4,34,-30
3,82,85,99,53,46
44,32,76,94,80,14
65,15,80,71,3,68
32,27,59,53,35,18
15,20,35,35,62,-27
47,1,48,34,70,-36
64,98,162,11,42,-31
35,85,120,68,90,-22
97,24,121,98,91,7
34,4,38,55,88,-33
16,67,83,43,57,-14
67,71,138,47,3,44
83,20,103,22,67,-45
47,84,131,31,91,-60
17,92,109,41,32,9
12,23,35,28,100,-72
