       a,       b,      w0,      w1,       x,       y,       z
      -4,      -3,    -579,     386,      10,      19,      22
      10,       0,    -459,     278,      13,      -5,      15
       9,       7,    -319,     427,       5,      20,      19
      18,      16,    1205,     958,      26,      27,       8
      -6,      -4,    -875,     128,      26,      16,      -4
      20,      15,     321,     198,      13,     -10,      -5
      11,       3,    -207,     621,      21,       4,      28
       5,      15,    -459,      -8,       0,       0,      -1
      27,       9,     585,    1241,      29,      14,      18
      -5,      17,      17,     267,       7,      18,      10
      10,       8,     -11,     584,      14,      28,      10
      -9,      23,    1565,     282,      22,       6,      36
     -11,      10,     101,    -212,      14,      -7,      -9
      21,       6,    -579,    -389,      -5,     -27,       2
      12,       4,    -651,     -78,     -12,      21,      -9
      28,       6,    -123,     392,      14,      -6,      -3
      18,       9,    -567,    -238,      -3,     -11,      -7
      23,      16,     373,     575,      13,      11,      11
      24,       6,    -531,      96,      -3,       9,      12
       1,       0,    -459,     356,      -6,      15,      31
      -7,       7,    -151,     227,      11,      23,       1
      19,       3,    -339,     428,      10,       1,      21
      21,       0,    -459,     362,       0,      17,      24
       0,       1,    -335,     390,      31,      10,      13
      14,       7,     353,     540,      29,      -4,       0
       0,      26,    2037,     472,      24,      20,      16
      14,      21,     213,     316,       8,       6,      12
      -4,      27,    -675,     326,      -2,      33,       0
       7,       8,     341,     245,      25,      -8,       0
      17,      10,     181,     362,      16,      -7,       8
       3,      29,    -111,     461,       3,      21,      28
      19,     -16,    -395,     -75,      -1,       3,     -10
       3,      45,     621,     356,       6,      19,      14
      -7,      24,    -171,     125,       3,       8,       6
       6,      -3,    -555,     306,       8,       9,      15
       8,      12,     117,     174,      12,      -1,       2
       5,      12,     165,     389,      13,      23,       2
      16,      10,     -19,     416,      11,       7,      13
      12,      21,    -963,     200,      -6,      22,      11
       0,      11,    -503,     248,      -1,      11,      18
     -10,       9,     153,     162,      17,      11,      15
      10,      -6,    -291,    -178,      -7,      -1,      -7
     -13,       3,    -363,     -28,       8,       6,      -4
      18,      12,    -459,     -50,       0,       7,     -15
      10,       9,     225,     488,      19,      12,       8
       6,      17,    -391,      32,       1,       2,       0
      12,       3,    -519,      94,      -5,       4,      18
      17,      21,    1389,     728,      22,      23,      -1
      -6,       0,    -459,     138,      -6,       5,      11
      -8,      18,      45,     214,       7,      14,      11
       5,       8,    -139,     320,      10,       1,      25
      13,      14,     885,     746,      24,      29,       0
       9,      21,     885,     494,      16,      15,      13
      14,      13,    1309,     996,      34,      30,       2
      -1,       6,     261,     454,      30,      16,      18
       5,      18,    -459,     130,       0,      13,       0
     -12,       2,    -371,     120,      11,      13,       7
       8,       5,    -319,     226,       7,       4,      11
       2,       0,    -459,     364,      16,      14,      12
       8,      13,   -1031,     110,     -11,      20,       8
      11,      24,     405,     479,       9,      15,      22
       1,      19,    -383,     143,       1,      -4,      22
      17,       9,     333,     606,      22,      14,      -5
      17,      18,    -459,      50,       0,      -3,      10
       4,       2,    -275,     534,      23,      24,       8
      16,      17,    -459,     328,       0,      20,      16
     -12,      23,    1105,      48,      17,      -5,      25
       5,       7,    -291,     206,       6,      14,       0
      10,      17,   -1207,    -122,     -11,      -5,      13
      22,      17,     221,     588,      10,      18,      16
       0,       8,    -171,     180,       9,      11,       2
       9,      26,    1725,     549,      21,       5,      23
       3,       3,    -483,      98,      -2,      -2,      17
      24,       4,    -475,      94,      -1,     -10,      28
       8,      26,    3285,     592,      36,       4,       6
      34,      19,     -79,     184,       5,       0,      -2
      16,      19,    -459,     254,       0,      23,       3
      18,      13,      61,     436,      10,      22,      -3
      17,      13,    -511,     253,      -1,      18,      12
      21,       0,    -459,     384,       2,      13,      25
      29,      -7,    -543,     193,       3,       0,      11
      -1,      21,    1893,     140,      28,       0,       0
      31,      20,   -1259,      26,     -10,      22,      22
      21,      37,    2205,     576,      18,       9,       0
      22,      20,     901,     566,      17,      -3,      15
      16,      15,    -459,     212,       0,      14,       9
      16,      14,     269,     558,      13,      12,      19
       7,      -3,    -567,     393,       9,      14,      17
      -4,      13,     -95,      74,       7,     -10,      20
      16,      14,    -123,    -104,       6,     -10,     -17
      11,      16,     373,     253,      13,      -8,      14
       0,      15,    -639,     304,      -3,      17,      19
      -1,       4,    -155,     519,      19,      24,      23
      -5,       5,     -59,     136,      20,      14,      -3
       0,      10,      21,     154,      12,       5,       4
       1,      18,     765,     143,      17,       0,       3
      29,      34,     493,     421,       7,       8,      12
      10,       4,    -299,     558,      10,      27,      16
      -3,     -11,    -723,     208,       6,      19,       0
      17,      27,    1917,     332,      22,     -11,      -8
      11,       7,     -39,     517,      15,      11,      19
      -4,      23,     737,      80,      13,      -1,       8
      14,     -10,   -1339,     826,      22,      25,      17
       8,      13,    -199,     128,       5,      -7,      16
       9,      13,     581,     636,      20,      24,      12
      -2,      11,     685,     208,      26,      20,     -12
      -1,      17,    -731,     -74,      -4,      -7,       2
      14,       7,    -263,     282,       7,       3,      14
       7,       3,    -195,     396,      22,      31,     -25
      15,      18,      45,     435,       7,      20,      11
       9,       5,     -39,     587,      21,      24,       4
       6,      27,    1161,     214,      15,       1,       3
      16,      20,    -939,     348,      -6,      28,      25
      15,      19,     681,     567,      15,      14,      14
       5,      16,      53,     204,       8,      10,       2
      32,      29,    -575,     264,      -1,      15,      19
       4,      -1,    -463,     -20,       1,      -3,       0
      22,      10,     821,    1132,      32,      10,      17
      16,     -16,    -843,     326,       6,      17,       3
      20,       8,    -459,     342,       0,       3,      39
      12,      14,     325,     272,      14,       6,      -5
      -2,       9,    -351,     -38,       3,      -5,       0
      24,       4,     165,    1464,      39,      23,       8
      -8,      24,    1557,     -50,      21,      -4,       4
      19,       4,    -315,     449,       9,      12,      13
      13,      12,    1125,     775,      33,       2,      16
       8,       2,    -283,     708,      22,      28,      15
       4,       8,    -587,     104,      -4,       8,       8
      27,       4,    -347,     249,       7,      -3,       6
       5,       7,    -403,     380,       2,      19,      21
      13,      11,    -195,     398,       6,      14,      18
      20,      42,    3237,     924,      22,      32,       4
      -1,      15,    -459,     130,       0,       1,      15
      14,      35,     661,     500,       8,      10,      30
       8,      30,    1101,     186,      13,      -6,       8
       4,      25,    1341,     512,      18,      14,      24
      14,       0,    -459,     -82,      -7,       9,      -4
      13,      17,   -1139,    -100,     -10,       9,       0
       0,      15,     621,     282,      18,      -5,      28
     -10,       0,    -459,     204,       9,      20,       5
       9,      -4,    -475,     399,       1,      24,      18
      19,       2,    -315,     718,      18,       6,      26
      23,     -14,    -627,     271,       3,      16,       3
      17,      12,    1077,     990,      32,      23,       3
      35,      20,    -299,     250,       2,      20,      -4
      21,      10,     221,     403,      17,       0,      -7
      11,      24,    1269,     490,      18,       4,      18
      -3,       9,     -99,      60,      10,       7,      -5
      11,      17,    -459,     542,       0,      23,      39
      19,      12,    -219,     145,       5,      -6,      10
       9,       8,    -683,    -121,      -7,       0,      -2
      -5,      21,    -375,     265,       1,       4,      28
       4,       9,     -63,     564,      11,      19,      33
      11,       0,    -459,     188,       0,      18,       1
      10,      28,     101,     150,       5,      -1,      10
      23,       3,    -195,     788,      22,      15,       0
      14,      -8,    -939,     406,      15,       5,       7
       3,      10,    -339,     141,       3,      13,      -2
     -13,      -3,    -603,     140,      12,      16,       8
      18,       9,     693,     706,      32,       1,      -9
      16,      18,     981,     320,      20,     -12,       0
      26,       4,    -443,     486,       1,      35,      13
      14,      22,     949,     450,      16,      -3,      20
      11,      10,     -99,     299,       9,       5,      12
      24,       4,    -155,     904,      19,      31,       3
      17,      -2,    -531,     605,       9,      31,      11
      11,      20,     821,     336,      16,       0,       8
      16,       5,    -479,     106,      -1,       0,      16
      21,       7,    -459,     366,       0,      23,      17
      19,       4,      69,     935,      33,      -1,      15
      16,      16,    -139,     292,       5,      19,      -1
      18,       6,     -75,     454,      16,       7,       0
      13,      12,    -219,     425,       5,      29,       5
      17,       6,    -531,     287,      -3,      22,      17
      11,      -3,    -435,     196,      -2,      15,      10
      17,      -1,    -459,     414,       0,      23,      23
      11,      11,    -591,      57,      -3,       2,      11
      -4,       8,     149,     238,      19,      16,       5
      10,      -6,    -459,     332,       0,      26,       9
      14,       9,     261,     596,      20,       6,      17
      13,      14,    -291,     219,       3,       9,       9
      27,      -3,    -615,     671,      13,       9,      19
      35,      10,      21,     462,      12,      -3,       0
       6,       7,    -879,      82,     -15,      19,       9
      16,      14,     -11,     210,       8,      -7,      13
      18,      27,    -243,     122,       2,     -19,      33
       7,      12,     213,     278,      14,       8,       2
      15,       3,    -351,     463,       9,      17,      13
       3,      12,     501,     358,      20,       5,      16
       7,       8,    -427,     143,       1,       5,      10
       9,      21,     297,     169,       9,       1,       3
      -4,      22,    -459,     394,       0,      29,      13
       6,       9,   -1071,      66,     -17,       7,      25
      16,       6,    -123,     550,      14,      21,       4
      10,      20,    1381,     588,      23,       2,      25
      35,     -10,    -739,     445,       7,       7,      11
       5,      17,     561,     281,      15,       2,      12
      18,      -3,    -639,     406,      15,      11,      -8
      14,       5,     -39,     416,      21,       6,      -8
       0,       9,    -603,     184,      -4,      16,       6
      22,       8,    -491,       8,      -1,       2,       2
      16,      28,   -1915,     -36,     -13,       9,      20
      26,      15,     321,     680,      13,      16,      13
       8,       6,    -219,     334,      10,      13,       8
      21,      17,    -119,     261,       5,      15,      -3
       6,       0,    -459,     392,      19,       6,      13
      24,      12,      21,     636,      10,      20,      17
       1,       2,    -275,     377,      23,       0,      27
      24,      38,     605,     824,       7,      31,      38
      18,      10,     -59,     792,      10,      36,      24
       1,      21,     297,     269,       9,      19,       2
      11,       5,     -79,     545,      19,      19,       4
      35,      17,    -323,     168,       2,      11,      -3
      16,       0,    -459,       2,      -1,      12,     -12
       0,      30,    -219,     -12,       2,      -8,       7
      17,      11,     201,     509,      15,      14,       3
      -1,      24,    -267,     190,       2,      18,       0
      15,       0,    -459,     343,       5,       7,      21
       1,      -7,    -431,     -13,      -1,       5,      -7
      29,       0,    -459,     851,      23,      11,      -8
      38,       0,    -459,    1112,      21,       6,      16
       3,       9,     441,     361,      25,       0,      17
     -11,       9,       9,      49,      13,       9,       3
     -16,       3,    -183,     -40,      23,      -1,      25
      11,      17,     221,     186,      10,      -4,       7
      12,      17,    1513,     600,      29,      -1,      11
       5,      22,     245,     216,       8,       4,      11
      12,      13,    1049,     730,      29,      12,      11
      25,      28,    1669,     697,      19,      10,       1
      -2,      -3,    -471,     554,       1,      39,      20
       4,      26,    -563,     270,      -1,      28,       0
      -2,      13,     165,     432,      12,      28,      13
      18,      21,    2733,    1146,      38,      25,      -2
       6,      33,    1521,     182,      15,       9,     -11
       7,      10,     821,     512,      32,      16,      -8
      33,       0,    -459,     998,      18,      20,      12
      10,      -7,    -487,     232,       1,      16,       7
      18,      25,     141,     246,       6,       3,       9
       6,      13,    -511,     290,      -1,      27,       4
      25,      23,    -459,     446,       0,      35,      12
       2,       4,       5,     672,      29,      32,      15
      -5,       0,    -459,     317,      -5,      21,      14
      14,       8,    -331,     496,       4,      20,      27
      14,      29,    1977,     836,      21,      24,      22
      14,      13,    -927,      22,      -9,      13,       9
       8,      27,     621,     428,      10,      20,      11
      -6,      13,     425,     192,      17,      20,      -1
       8,      16,     501,     348,      15,       5,      11
       1,      12,    -507,     135,      -1,       7,       9
      17,      33,    2181,     470,      20,      -7,      10
      35,       5,    -319,     315,       7,       6,      -4
      19,      10,     381,     869,      21,      20,      18
      11,      13,    -459,     334,       0,       3,      38
      10,       9,    -423,     -22,       1,      -3,      -1
      33,       8,      85,     855,      17,      12,       9
       7,      18,    -819,     113,      -5,      17,       1
      15,      13,    -251,     324,       4,       4,      25
      -7,      23,    1657,     287,      23,      11,      25
      10,      37,    1465,     302,      13,      15,      -7
       6,      30,    1701,     394,      18,      13,       6
      38,       0,    -459,     500,       2,      18,      29
      17,      10,    -299,      26,       4,       3,     -12
      30,      15,    -579,     144,      -2,       8,      17
       5,      16,     -75,      46,       6,     -10,      10
       6,      -9,   -1143,     456,      19,      18,       6
       6,      13,     633,     452,      21,      12,      10
      19,       0,    -459,     600,      18,      15,       0
      10,      13,       9,     230,       9,      -1,      12
      13,      11,    -503,     367,      -1,      25,      17
      15,       9,     -63,     507,      11,      14,      17
      23,      14,     493,     481,      17,       6,      -9
     -16,       1,    -315,     -30,      36,      21,      15
      20,      11,    -987,       4,     -12,      14,      22
      -8,       7,    -571,      96,      -4,       0,      11
      12,      31,    1029,     386,      12,      21,      -5
      16,       7,     381,     806,      30,       9,       7
       2,     -11,    -415,     320,      -1,      16,      21
      19,      16,     309,     488,      12,      10,      11
      17,      21,    2313,    1063,      33,      20,      13
      17,       7,     269,     886,      26,       4,      31
       6,      27,     189,      88,       6,       0,       2
       8,      14,     773,     470,      22,       5,      14
      15,      16,     117,     501,       9,       8,      29
      14,      18,     189,     196,       9,       0,       2
      10,      16,    1077,     530,      24,       5,      12
      10,      18,     477,     138,      13,      -3,      -5
      12,       0,    -459,     460,       1,      25,      24
      21,       7,     185,    1027,      23,      23,      22
      30,      21,    1053,     930,      18,      17,      14
      12,      21,     297,     168,       9,      11,     -13
       4,       3,    -195,     452,      22,      16,       9
       8,      12,     -75,     224,       8,       8,       4
      21,      26,   -1499,    -182,     -10,       0,      11
      -3,       0,    -459,      98,      26,      18,     -20
      -1,      12,    -843,      70,      -8,      -1,      15
      16,      26,     789,     622,      12,      27,      11
      11,       3,    -459,     220,       0,       2,      25
      25,      10,      61,     665,      13,      31,      -6
      25,      20,   -1259,    -264,     -10,      15,     -13
       5,       0,    -459,     279,      25,      -2,       3
       0,      23,    2301,     136,      30,      -6,       2
      -3,       2,    -531,    -135,      -9,     -18,       9
      12,       7,    -319,     346,       5,      12,      17
       4,      26,    1101,     360,      15,      13,      10
       7,      16,    -267,     149,       3,      11,       0
      -8,       0,    -459,     190,      -2,      17,       2
      12,      22,      69,     320,       6,      14,       9
       5,      25,    -459,     164,       0,      18,      -2
     -10,      12,    -171,     206,       6,      23,       0
      -2,      24,    1173,     356,      17,      16,      16
       7,       9,     -99,     304,      10,      11,       8
       6,      36,    1557,     554,      14,      17,      27
       0,      14,     437,     292,      16,      10,      12
       0,      10,     621,     274,      27,      12,      -1
       4,      -6,    -651,     316,       8,      10,      17
       6,      12,     405,     622,      18,      31,      12
       8,      16,     181,     322,      10,      11,       9
       1,      12,     117,      76,      12,      -8,       9
      -5,      20,    -299,     194,       2,      12,       9
       0,      15,      81,     150,       9,      -4,      17
      -5,      19,     -79,     223,       5,       5,      21
      18,      24,      21,     400,       5,      28,       0
      14,      12,     837,     682,      27,      15,      -1
      22,       7,    -571,     170,      -4,      25,       4
      -2,      -4,    -715,     316,      16,       6,      24
      20,      17,    -255,     300,       3,      11,      14
       4,      22,     685,     300,      13,      13,       5
       5,      10,    1301,     706,      44,      15,       9
      11,       5,    -459,     406,       0,      11,      37
      18,       2,    -435,     280,       3,       8,      16
       0,      12,     309,     484,      16,      22,      21
     -20,      13,    -303,     136,       3,      17,       1
      26,       0,    -459,     468,      11,       6,       7
       9,      30,   -1899,      36,     -12,      12,      12
      20,      11,      69,     626,      12,      17,      18
       5,      -9,    -675,     340,       6,      21,       8
      10,       8,    -331,      98,       4,       1,       3
       3,       5,    -139,     740,      16,      30,      37
       6,      -5,    -579,     350,       6,      23,       6
       7,       8,    -363,     179,       3,       2,      15
      26,      12,     117,     586,      12,      13,       9
      16,      14,    1837,     908,      41,       3,      -3
      30,       9,     117,     884,      16,      10,      26
      12,      21,     885,     696,      16,      24,      21
      20,      22,     245,     274,       8,       5,       2
       8,      14,    -403,     404,       1,      31,      10
       3,      -7,    -515,     298,       2,      20,      10
      14,       4,    -459,     -16,       0,       0,      -2
      14,       8,     -43,     424,      13,      10,       8
      15,      -6,    -723,     315,      11,      10,      -2
      23,       4,      21,    1016,      30,      -7,      27
       2,       3,    -339,     340,      10,      10,      20
      24,      17,    -867,      58,      -6,      11,      16
      12,      14,     605,     494,      19,      20,      -6
      15,      10,    -459,     412,       0,      18,      29
       1,      21,     297,     215,       9,       0,      19
       5,      37,    1317,     370,      12,      11,      16
       8,       9,    -135,     206,       9,       8,       0
       2,      13,     -43,     484,       8,      34,      10
      16,       0,    -459,     324,       3,      21,       6
      14,       4,    -571,     110,      -7,      13,      15
      -6,      19,    -459,     358,       0,      27,      11
       0,      -5,   -1099,     416,      32,      12,      13
      10,      29,    1165,     368,      14,       4,      13
       5,      13,     425,     297,      17,       3,      10
       5,      12,    -123,     293,       7,      12,      12
      13,       6,    -483,     297,      -1,      26,       7
       7,      23,    1749,     196,      24,     -14,       3
      -2,      22,     773,     386,      14,      13,      25
      -6,      -1,    -575,     198,      29,       3,      21
      13,       3,    -447,     127,       1,      10,       1
      -5,      12,     693,     118,      24,       3,       8
       0,      12,     213,     414,      14,      17,      20
       7,      14,    1501,     631,      35,      16,       2
      10,       0,    -459,     214,      13,      -1,       2
      20,       0,    -459,     218,       1,      12,       9
       0,      10,    -339,     386,       3,      16,      26
       3,       5,    -339,     240,       6,       5,      17
       8,      38,    -155,     344,       2,      14,      22
       7,      10,     501,     474,      24,       5,      14
       7,       5,    -459,     208,       0,      12,      11
